0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:30 +0800] "GET /app-web-console/sysMenu/toList.html;jsessionid=CD67C90B182C65A818B09234DDF9323B HTTP/1.1" 200 4527
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:30 +0800] "GET /app-web-console/view/sysMenu/sysMenu.js.jsp HTTP/1.1" 200 4912
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:30 +0800] "POST /app-web-console/sysMenu/list.html HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:33 +0800] "GET /app-web-console/static/themes/default1/images/messager_icons.png HTTP/1.1" 200 6116
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:37 +0800] "GET /app-web-console/sysMenu/get.html?id=7305b2b4a58011e7a982b025aa236c1b HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:45 +0800] "GET /app-web-console/yhArticles/toList.html;jsessionid=CD67C90B182C65A818B09234DDF9323B HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:45 +0800] "GET /app-web-console/view/yhArticles/yhArticles.js.jsp HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:45 +0800] "POST /app-web-console/yhArticles/list.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:47 +0800] "POST /app-web-console/yhArticles/list.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:52 +0800] "GET /app-web-console/yhIconCon/toList.html;jsessionid=CD67C90B182C65A818B09234DDF9323B HTTP/1.1" 200 6546
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:52 +0800] "GET /app-web-console/view/yhIcon/yhIcon.js.jsp HTTP/1.1" 200 5014
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:55 +0800] "GET /app-web-console/demo2.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:06 +0800] "GET /app-web-console/user/toUser.html HTTP/1.1" 200 4555
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:06 +0800] "GET /app-web-console/view/user/user.js.jsp HTTP/1.1" 200 5341
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:07 +0800] "POST /app-web-console/user/list.html HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:07 +0800] "GET /app-web-console/static/my97/skin/datePicker.gif HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:12 +0800] "POST /app-web-console/user/get.html HTTP/1.1" 200 376
